speciesCode,commonName,scientificName,locId,locName,observationDate,observationCount,latitude,longitude,obsValid,obsReviewed,locationPrivate,subId,exoticCategory
laudov1,Laughing Dove,Spilopelia senegalensis,L3678933,Tamhini Forest,2025-04-01 21:49,6.0,18.4459576,73.4265895,True,False,False,S222394562,
junbab2,Jungle Babbler,Argya striata,L3678933,Tamhini Forest,2025-04-01 21:49,4.0,18.4459576,73.4265895,True,False,False,S222394562,
piebus1,Pied Bushchat,Saxicola caprata,L3678933,Tamhini Forest,2025-04-01 21:49,1.0,18.4459576,73.4265895,True,False,False,S222394562,
rocpig,Rock Pigeon,Columba livia,L25488722,"Nashik, Maharashtra, IN (19.96, 73.825) , 207 Prabha Kamal Apartment.., Davkhar Wadi , Nashik Road Nashik...",2025-04-01 19:01,4.0,19.9601849,73.8249185,True,False,True,S222260665,N
asikoe2,Asian Koel,Eudynamys scolopaceus,L25488722,"Nashik, Maharashtra, IN (19.96, 73.825) , 207 Prabha Kamal Apartment.., Davkhar Wadi , Nashik Road Nashik...",2025-04-01 19:01,3.0,19.9601849,73.8249185,True,False,True,S222260665,
copbar1,Coppersmith Barbet,Psilopogon haemacephalus,L25488722,"Nashik, Maharashtra, IN (19.96, 73.825) , 207 Prabha Kamal Apartment.., Davkhar Wadi , Nashik Road Nashik...",2025-04-01 19:01,2.0,19.9601849,73.8249185,True,False,True,S222260665,
rorpar,Rose-ringed Parakeet,Psittacula krameri,L25488722,"Nashik, Maharashtra, IN (19.96, 73.825) , 207 Prabha Kamal Apartment.., Davkhar Wadi , Nashik Road Nashik...",2025-04-01 19:01,1.0,19.9601849,73.8249185,True,False,True,S222260665,
spbfan1,Spot-breasted Fantail,Rhipidura albogularis,L25488722,"Nashik, Maharashtra, IN (19.96, 73.825) , 207 Prabha Kamal Apartment.., Davkhar Wadi , Nashik Road Nashik...",2025-04-01 19:01,1.0,19.9601849,73.8249185,True,False,True,S222260665,
cintit13,Asian Tit,Parus cinereus,L25488722,"Nashik, Maharashtra, IN (19.96, 73.825) , 207 Prabha Kamal Apartment.., Davkhar Wadi , Nashik Road Nashik...",2025-04-01 19:01,2.0,19.9601849,73.8249185,True,False,True,S222260665,
lagbab2,Large Gray Babbler,Argya malcolmi,L25488722,"Nashik, Maharashtra, IN (19.96, 73.825) , 207 Prabha Kamal Apartment.., Davkhar Wadi , Nashik Road Nashik...",2025-04-01 19:01,4.0,19.9601849,73.8249185,True,False,True,S222260665,
indrob1,Indian Robin,Copsychus fulicatus,L25488722,"Nashik, Maharashtra, IN (19.96, 73.825) , 207 Prabha Kamal Apartment.., Davkhar Wadi , Nashik Road Nashik...",2025-04-01 19:01,2.0,19.9601849,73.8249185,True,False,True,S222260665,
magrob,Oriental Magpie-Robin,Copsychus saularis,L25488722,"Nashik, Maharashtra, IN (19.96, 73.825) , 207 Prabha Kamal Apartment.., Davkhar Wadi , Nashik Road Nashik...",2025-04-01 19:01,2.0,19.9601849,73.8249185,True,False,True,S222260665,
rebfly,Red-breasted Flycatcher,Ficedula parva,L25488722,"Nashik, Maharashtra, IN (19.96, 73.825) , 207 Prabha Kamal Apartment.., Davkhar Wadi , Nashik Road Nashik...",2025-04-01 19:01,1.0,19.9601849,73.8249185,True,False,True,S222260665,
pursun4,Purple Sunbird,Cinnyris asiaticus,L25488722,"Nashik, Maharashtra, IN (19.96, 73.825) , 207 Prabha Kamal Apartment.., Davkhar Wadi , Nashik Road Nashik...",2025-04-01 19:01,2.0,19.9601849,73.8249185,True,False,True,S222260665,
indsil,Indian Silverbill,Euodice malabarica,L25488722,"Nashik, Maharashtra, IN (19.96, 73.825) , 207 Prabha Kamal Apartment.., Davkhar Wadi , Nashik Road Nashik...",2025-04-01 19:01,2.0,19.9601849,73.8249185,True,False,True,S222260665,
houspa,House Sparrow,Passer domesticus,L25488722,"Nashik, Maharashtra, IN (19.96, 73.825) , 207 Prabha Kamal Apartment.., Davkhar Wadi , Nashik Road Nashik...",2025-04-01 19:01,2.0,19.9601849,73.8249185,True,False,True,S222260665,
categr2,Eastern Cattle-Egret,Ardea coromanda,L21792254,"Ashok Vihar, Marol, Mumbai, MH",2025-04-01 18:50,1.0,19.1167325,72.8866961,True,False,True,S223666922,
blakit1,Black Kite,Milvus migrans,L21792254,"Ashok Vihar, Marol, Mumbai, MH",2025-04-01 18:50,11.0,19.1167325,72.8866961,True,False,True,S223666922,
houcro1,House Crow,Corvus splendens,L21792254,"Ashok Vihar, Marol, Mumbai, MH",2025-04-01 18:50,11.0,19.1167325,72.8866961,True,False,True,S223666922,
labcro1,Large-billed Crow,Corvus macrorhynchos,L21792254,"Ashok Vihar, Marol, Mumbai, MH",2025-04-01 18:50,1.0,19.1167325,72.8866961,True,False,True,S223666922,
isbduc1,Indian Spot-billed Duck,Anas poecilorhyncha,L40152025,Shivaji University Music Dept Lake,2025-04-01 18:49,5.0,16.6829899,74.2536092,True,False,False,S222262104,
rewlap1,Red-wattled Lapwing,Vanellus indicus,L40152025,Shivaji University Music Dept Lake,2025-04-01 18:49,5.0,16.6829899,74.2536092,True,False,False,S222262104,
wonsto1,Asian Woolly-necked Stork,Ciconia episcopus,L40152025,Shivaji University Music Dept Lake,2025-04-01 18:49,6.0,16.6829899,74.2536092,True,False,False,S222262104,
paisto1,Painted Stork,Mycteria leucocephala,L40152025,Shivaji University Music Dept Lake,2025-04-01 18:49,1.0,16.6829899,74.2536092,True,False,False,S222262104,
litegr,Little Egret,Egretta garzetta,L40152025,Shivaji University Music Dept Lake,2025-04-01 18:49,3.0,16.6829899,74.2536092,True,False,False,S222262104,
graher1,Gray Heron,Ardea cinerea,L40152025,Shivaji University Music Dept Lake,2025-04-01 18:49,1.0,16.6829899,74.2536092,True,False,False,S222262104,
whtkin2,White-throated Kingfisher,Halcyon smyrnensis,L40152025,Shivaji University Music Dept Lake,2025-04-01 18:49,3.0,16.6829899,74.2536092,True,False,False,S222262104,
indnig1,Indian Nightjar,Caprimulgus asiaticus,L41988730,"Kachargarh Pari Kupar Lingo, Kali Kankalin Pendana, Gondiya , Maharashtra, IN (21.287, 80.603)",2025-04-01 18:42,3.0,21.2870117,80.6033832,True,False,True,S222394290,
spoowl1,Spotted Owlet,Athene brama,L27940728,"Meghdoot Building, Snehnagar,Pune, Maharashtra, IN (18.502, 73.85)",2025-04-01 18:41,2.0,18.5021266,73.8501222,True,False,True,S222586622,
alepar2,Alexandrine Parakeet,Psittacula eupatria,L27940728,"Meghdoot Building, Snehnagar,Pune, Maharashtra, IN (18.502, 73.85)",2025-04-01 18:41,2.0,18.5021266,73.8501222,True,False,True,S222586622,
comtai1,Common Tailorbird,Orthotomus sutorius,L27940728,"Meghdoot Building, Snehnagar,Pune, Maharashtra, IN (18.502, 73.85)",2025-04-01 18:41,1.0,18.5021266,73.8501222,True,False,True,S222586622,
