speciesCode,commonName,scientificName,locId,locName,observationDate,observationCount,latitude,longitude,obsValid,obsReviewed,locationPrivate,subId,exoticCategory
sllcra1,Slaty-legged Crake,Rallina eurizonoides,L15239804,"My House, Ranvi, Guhagar",2025-08-01 22:35,1.0,17.5376767,73.17646,True,False,True,S264313808,
mowowl1,Mottled Wood-Owl,Strix ocellata,L17952505,Mahuli Fort Base,2025-08-01 21:44,2.0,19.4770962,73.2685617,True,False,False,S273796160,
litswi1,Little Swift,Apus affinis,L16663654,Karve Nagar,2025-08-01 21:22,2.0,18.4991093,73.8245488,True,False,True,S264223994,
spoowl1,Spotted Owlet,Athene brama,L16663654,Karve Nagar,2025-08-01 21:22,1.0,18.4991093,73.8245488,True,False,True,S264223994,
ceyfro1,Sri Lanka Frogmouth,Batrachostomus moniliger,L30963276,Wild One Wildlife Field Station and Nature Stay,2025-08-01 20:33,1.0,15.8125571,74.0963586,True,False,False,S264916217,
rocpig,Rock Pigeon,Columba livia,L27940728,"Meghdoot Building, Snehnagar,Pune, Maharashtra, IN (18.502, 73.85)",2025-08-01 19:33,4.0,18.5021266,73.8501222,True,False,True,S265340794,N
grecou1,Greater Coucal,Centropus sinensis,L27940728,"Meghdoot Building, Snehnagar,Pune, Maharashtra, IN (18.502, 73.85)",2025-08-01 19:33,2.0,18.5021266,73.8501222,True,False,True,S265340794,
asikoe2,Asian Koel,Eudynamys scolopaceus,L27940728,"Meghdoot Building, Snehnagar,Pune, Maharashtra, IN (18.502, 73.85)",2025-08-01 19:33,2.0,18.5021266,73.8501222,True,False,True,S265340794,
blakit1,Black Kite,Milvus migrans,L27940728,"Meghdoot Building, Snehnagar,Pune, Maharashtra, IN (18.502, 73.85)",2025-08-01 19:33,4.0,18.5021266,73.8501222,True,False,True,S265340794,
rorpar,Rose-ringed Parakeet,Psittacula krameri,L27940728,"Meghdoot Building, Snehnagar,Pune, Maharashtra, IN (18.502, 73.85)",2025-08-01 19:33,5.0,18.5021266,73.8501222,True,False,True,S265340794,
comior1,Common Iora,Aegithina tiphia,L27940728,"Meghdoot Building, Snehnagar,Pune, Maharashtra, IN (18.502, 73.85)",2025-08-01 19:33,1.0,18.5021266,73.8501222,True,False,True,S265340794,
houcro1,House Crow,Corvus splendens,L27940728,"Meghdoot Building, Snehnagar,Pune, Maharashtra, IN (18.502, 73.85)",2025-08-01 19:33,2.0,18.5021266,73.8501222,True,False,True,S265340794,
cintit13,Asian Tit,Parus cinereus,L27940728,"Meghdoot Building, Snehnagar,Pune, Maharashtra, IN (18.502, 73.85)",2025-08-01 19:33,2.0,18.5021266,73.8501222,True,False,True,S265340794,
comtai1,Common Tailorbird,Orthotomus sutorius,L27940728,"Meghdoot Building, Snehnagar,Pune, Maharashtra, IN (18.502, 73.85)",2025-08-01 19:33,1.0,18.5021266,73.8501222,True,False,True,S265340794,
ashpri1,Ashy Prinia,Prinia socialis,L27940728,"Meghdoot Building, Snehnagar,Pune, Maharashtra, IN (18.502, 73.85)",2025-08-01 19:33,3.0,18.5021266,73.8501222,True,False,True,S265340794,
revbul,Red-vented Bulbul,Pycnonotus cafer,L27940728,"Meghdoot Building, Snehnagar,Pune, Maharashtra, IN (18.502, 73.85)",2025-08-01 19:33,3.0,18.5021266,73.8501222,True,False,True,S265340794,
commyn,Common Myna,Acridotheres tristis,L27940728,"Meghdoot Building, Snehnagar,Pune, Maharashtra, IN (18.502, 73.85)",2025-08-01 19:33,2.0,18.5021266,73.8501222,True,False,True,S265340794,
rewlap1,Red-wattled Lapwing,Vanellus indicus,L39768164,"Someshwar Temple, Gangapur Road, Nashik, Maharashtra, IN (20.022, 73.728)",2025-08-01 19:12,2.0,20.0223489,73.7276557,True,False,True,S264200023,
litcor1,Little Cormorant,Microcarbo niger,L39768164,"Someshwar Temple, Gangapur Road, Nashik, Maharashtra, IN (20.022, 73.728)",2025-08-01 19:12,2.0,20.0223489,73.7276557,True,False,True,S264200023,
indcor1,Indian Cormorant,Phalacrocorax fuscicollis,L39768164,"Someshwar Temple, Gangapur Road, Nashik, Maharashtra, IN (20.022, 73.728)",2025-08-01 19:12,4.0,20.0223489,73.7276557,True,False,True,S264200023,
renibi1,Red-naped Ibis,Pseudibis papillosa,L39768164,"Someshwar Temple, Gangapur Road, Nashik, Maharashtra, IN (20.022, 73.728)",2025-08-01 19:12,2.0,20.0223489,73.7276557,True,False,True,S264200023,
litegr,Little Egret,Egretta garzetta,L39768164,"Someshwar Temple, Gangapur Road, Nashik, Maharashtra, IN (20.022, 73.728)",2025-08-01 19:12,20.0,20.0223489,73.7276557,True,False,True,S264200023,
inpher1,Indian Pond-Heron,Ardeola grayii,L39768164,"Someshwar Temple, Gangapur Road, Nashik, Maharashtra, IN (20.022, 73.728)",2025-08-01 19:12,8.0,20.0223489,73.7276557,True,False,True,S264200023,
whtkin2,White-throated Kingfisher,Halcyon smyrnensis,L39768164,"Someshwar Temple, Gangapur Road, Nashik, Maharashtra, IN (20.022, 73.728)",2025-08-01 19:12,2.0,20.0223489,73.7276557,True,False,True,S264200023,
copbar1,Coppersmith Barbet,Psilopogon haemacephalus,L39768164,"Someshwar Temple, Gangapur Road, Nashik, Maharashtra, IN (20.022, 73.728)",2025-08-01 19:12,8.0,20.0223489,73.7276557,True,False,True,S264200023,
houspa,House Sparrow,Passer domesticus,L39768164,"Someshwar Temple, Gangapur Road, Nashik, Maharashtra, IN (20.022, 73.728)",2025-08-01 19:12,18.0,20.0223489,73.7276557,True,False,True,S264200023,
compea,Indian Peafowl,Pavo cristatus,L50815287,"Bhukum, Maharashtra, IN (18.499, 73.723)",2025-08-01 19:02,2.0,18.4994025,73.7228962,True,False,True,S264196110,
rewbul,Red-whiskered Bulbul,Pycnonotus jocosus,L50815287,"Bhukum, Maharashtra, IN (18.499, 73.723)",2025-08-01 19:02,1.0,18.4994025,73.7228962,True,False,True,S264196110,
junmyn1,Jungle Myna,Acridotheres fuscus,L50815287,"Bhukum, Maharashtra, IN (18.499, 73.723)",2025-08-01 19:02,1.0,18.4994025,73.7228962,True,False,True,S264196110,
vehpar1,Vernal Hanging-Parrot,Loriculus vernalis,L38391313,"Abhuday Nagar,Nachane Road, Ratnagiri, Maharashtra, IN (16.988, 73.32)",2025-08-01 18:55,2.0,16.9875733,73.3202883,True,False,True,S264329861,
gybpri1,Gray-breasted Prinia,Prinia hodgsonii,L38391313,"Abhuday Nagar,Nachane Road, Ratnagiri, Maharashtra, IN (16.988, 73.32)",2025-08-01 18:55,2.0,16.9875733,73.3202883,True,False,True,S264329861,
spodov,Spotted Dove,Spilopelia chinensis,L15239804,"My House, Ranvi, Guhagar",2025-08-01 18:52,1.0,17.5376767,73.17646,True,False,True,S264250391,
cohcuc1,Common Hawk-Cuckoo,Hierococcyx varius,L15239804,"My House, Ranvi, Guhagar",2025-08-01 18:52,4.0,17.5376767,73.17646,True,False,True,S264250391,
brhbar1,Brown-headed Barbet,Psilopogon zeylanicus,L15239804,"My House, Ranvi, Guhagar",2025-08-01 18:52,3.0,17.5376767,73.17646,True,False,True,S264250391,
indpit1,Indian Pitta,Pitta brachyura,L15239804,"My House, Ranvi, Guhagar",2025-08-01 18:52,4.0,17.5376767,73.17646,True,False,True,S264250391,
bkhcus1,Black-headed Cuckooshrike,Lalage melanoptera,L15239804,"My House, Ranvi, Guhagar",2025-08-01 18:52,1.0,17.5376767,73.17646,True,False,True,S264250391,
blhori1,Black-hooded Oriole,Oriolus xanthornus,L15239804,"My House, Ranvi, Guhagar",2025-08-01 18:52,2.0,17.5376767,73.17646,True,False,True,S264250391,
bladro1,Black Drongo,Dicrurus macrocercus,L15239804,"My House, Ranvi, Guhagar",2025-08-01 18:52,2.0,17.5376767,73.17646,True,False,True,S264250391,
whbdro1,White-bellied Drongo,Dicrurus caerulescens,L15239804,"My House, Ranvi, Guhagar",2025-08-01 18:52,1.0,17.5376767,73.17646,True,False,True,S264250391,
putbab1,Puff-throated Babbler,Pellorneum ruficeps,L15239804,"My House, Ranvi, Guhagar",2025-08-01 18:52,1.0,17.5376767,73.17646,True,False,True,S264250391,
junbab2,Jungle Babbler,Argya striata,L15239804,"My House, Ranvi, Guhagar",2025-08-01 18:52,6.0,17.5376767,73.17646,True,False,True,S264250391,
orhthr1,Orange-headed Thrush,Geokichla citrina,L15239804,"My House, Ranvi, Guhagar",2025-08-01 18:52,1.0,17.5376767,73.17646,True,False,True,S264250391,
eurbla2,Indian Blackbird,Turdus simillimus,L15239804,"My House, Ranvi, Guhagar",2025-08-01 18:52,7.0,17.5376767,73.17646,True,False,True,S264250391,
indrob1,Indian Robin,Copsychus fulicatus,L15239804,"My House, Ranvi, Guhagar",2025-08-01 18:52,2.0,17.5376767,73.17646,True,False,True,S264250391,
magrob,Oriental Magpie-Robin,Copsychus saularis,L15239804,"My House, Ranvi, Guhagar",2025-08-01 18:52,4.0,17.5376767,73.17646,True,False,True,S264250391,
pursun3,Purple-rumped Sunbird,Leptocoma zeylonica,L15239804,"My House, Ranvi, Guhagar",2025-08-01 18:52,2.0,17.5376767,73.17646,True,False,True,S264250391,
bcnher,Black-crowned Night Heron,Nycticorax nycticorax,L8015914,"Shivaji Nagar, Jalgaon",2025-08-01 18:40,3.0,21.0211697,75.5660185,True,False,False,S264312961,
categr2,Eastern Cattle-Egret,Ardea coromanda,L8015914,"Shivaji Nagar, Jalgaon",2025-08-01 18:40,12.0,21.0211697,75.5660185,True,False,False,S264312961,
shikra1,Shikra,Tachyspiza badia,L8015914,"Shivaji Nagar, Jalgaon",2025-08-01 18:40,1.0,21.0211697,75.5660185,True,False,False,S264312961,
lewduc1,Lesser Whistling-Duck,Dendrocygna javanica,L3442866,Kopar Creek-- Dombivali,2025-08-01 18:36,6.0,19.2156805,73.0701998,True,False,False,S264342185,
aspswi1,Asian Palm Swift,Cypsiurus balasiensis,L3442866,Kopar Creek-- Dombivali,2025-08-01 18:36,6.0,19.2156805,73.0701998,True,False,False,S264342185,
whbwat1,White-breasted Waterhen,Amaurornis phoenicurus,L3442866,Kopar Creek-- Dombivali,2025-08-01 18:36,2.0,19.2156805,73.0701998,True,False,False,S264342185,
greegr,Great Egret,Ardea alba,L3442866,Kopar Creek-- Dombivali,2025-08-01 18:36,2.0,19.2156805,73.0701998,True,False,False,S264342185,
brakit1,Brahminy Kite,Haliastur indus,L3442866,Kopar Creek-- Dombivali,2025-08-01 18:36,1.0,19.2156805,73.0701998,True,False,False,S264342185,
grnbee3,Asian Green Bee-eater,Merops orientalis,L3442866,Kopar Creek-- Dombivali,2025-08-01 18:36,15.0,19.2156805,73.0701998,True,False,False,S264342185,
comkin1,Common Kingfisher,Alcedo atthis,L3442866,Kopar Creek-- Dombivali,2025-08-01 18:36,2.0,19.2156805,73.0701998,True,False,False,S264342185,
alepar2,Alexandrine Parakeet,Psittacula eupatria,L3442866,Kopar Creek-- Dombivali,2025-08-01 18:36,3.0,19.2156805,73.0701998,True,False,False,S264342185,
ingori1,Indian Golden Oriole,Oriolus kundoo,L3442866,Kopar Creek-- Dombivali,2025-08-01 18:36,1.0,19.2156805,73.0701998,True,False,False,S264342185,
spbfan1,Spot-breasted Fantail,Rhipidura albogularis,L3442866,Kopar Creek-- Dombivali,2025-08-01 18:36,2.0,19.2156805,73.0701998,True,False,False,S264342185,
plapri1,Plain Prinia,Prinia inornata,L3442866,Kopar Creek-- Dombivali,2025-08-01 18:36,6.0,19.2156805,73.0701998,True,False,False,S264342185,
zitcis1,Zitting Cisticola,Cisticola juncidis,L3442866,Kopar Creek-- Dombivali,2025-08-01 18:36,2.0,19.2156805,73.0701998,True,False,False,S264342185,
duscrm1,Dusky Crag-Martin,Ptyonoprogne concolor,L3442866,Kopar Creek-- Dombivali,2025-08-01 18:36,2.0,19.2156805,73.0701998,True,False,False,S264342185,
yeebab1,Yellow-eyed Babbler,Chrysomma sinense,L3442866,Kopar Creek-- Dombivali,2025-08-01 18:36,2.0,19.2156805,73.0701998,True,False,False,S264342185,
aspsta2,Indian Pied Starling,Gracupica contra,L3442866,Kopar Creek-- Dombivali,2025-08-01 18:36,2.0,19.2156805,73.0701998,True,False,False,S264342185,
pabflo1,Pale-billed Flowerpecker,Dicaeum erythrorhynchos,L3442866,Kopar Creek-- Dombivali,2025-08-01 18:36,1.0,19.2156805,73.0701998,True,False,False,S264342185,
nutman,Scaly-breasted Munia,Lonchura punctulata,L3442866,Kopar Creek-- Dombivali,2025-08-01 18:36,4.0,19.2156805,73.0701998,True,False,False,S264342185,
eurcoo,Eurasian Coot,Fulica atra,L23223998,Ujani Dam--Kranti Flamingo Point,2025-08-01 18:32,3.0,18.265006,74.8028179,True,False,False,S264182944,
whiter2,Whiskered Tern,Chlidonias hybrida,L23223998,Ujani Dam--Kranti Flamingo Point,2025-08-01 18:32,1.0,18.265006,74.8028179,True,False,False,S264182944,
rivter1,River Tern,Sterna aurantia,L23223998,Ujani Dam--Kranti Flamingo Point,2025-08-01 18:32,1.0,18.265006,74.8028179,True,False,False,S264182944,
paisto1,Painted Stork,Mycteria leucocephala,L23223998,Ujani Dam--Kranti Flamingo Point,2025-08-01 18:32,3.0,18.265006,74.8028179,True,False,False,S264182944,
eurspo1,Eurasian Spoonbill,Platalea leucorodia,L23223998,Ujani Dam--Kranti Flamingo Point,2025-08-01 18:32,2.0,18.265006,74.8028179,True,False,False,S264182944,
graher1,Gray Heron,Ardea cinerea,L23223998,Ujani Dam--Kranti Flamingo Point,2025-08-01 18:32,5.0,18.265006,74.8028179,True,False,False,S264182944,
