speciesCode,commonName,scientificName,locId,locName,observationDate,observationCount,latitude,longitude,obsValid,obsReviewed,locationPrivate,subId,exoticCategory
eabowl1,Eastern Barn Owl,Tyto javanica,L55656350,"Pune, Maharashtra, IN (18.512, 73.771)",2025-12-01 23:30,1.0,18.5124979,73.7707556,True,False,True,S287012467,
indthk1,Indian Thick-knee,Burhinus indicus,L55594698,"Bijapur-Umadi-Pandharpur Road, Sangli, Maharashtra, IN (17.233, 75.616)",2025-12-01 22:12,,17.2330386,75.615998,True,False,True,S286948410,
junowl1,Jungle Owlet,Glaucidium radiatum,L32436389,Pench Tiger Reserve--Surewani Gate,2025-12-01 22:00,2.0,21.5427509,79.0053248,True,False,False,S286971502,
mowowl1,Mottled Wood-Owl,Strix ocellata,L32436389,Pench Tiger Reserve--Surewani Gate,2025-12-01 22:00,1.0,21.5427509,79.0053248,True,False,False,S286971502,
spodov,Spotted Dove,Spilopelia chinensis,L20452024,Amboli Forest Park,2025-12-01 18:33,2.0,15.9599778,73.9996362,True,False,False,S286922361,
ceyfro1,Sri Lanka Frogmouth,Batrachostomus moniliger,L20452024,Amboli Forest Park,2025-12-01 18:33,1.0,15.9599778,73.9996362,True,False,False,S286922361,
aspfly1,Indian Paradise-Flycatcher,Terpsiphone paradisi,L20452024,Amboli Forest Park,2025-12-01 18:33,3.0,15.9599778,73.9996362,True,False,False,S286922361,
blrwar1,Blyth's Reed Warbler,Acrocephalus dumetorum,L20452024,Amboli Forest Park,2025-12-01 18:33,2.0,15.9599778,73.9996362,True,False,False,S286922361,
sqtbul1,Square-tailed Bulbul,Hypsipetes ganeesa,L20452024,Amboli Forest Park,2025-12-01 18:33,1.0,15.9599778,73.9996362,True,False,False,S286922361,
inbrob1,Indian Blue Robin,Larvivora brunnea,L20452024,Amboli Forest Park,2025-12-01 18:33,4.0,15.9599778,73.9996362,True,False,False,S286922361,
insowl1,Indian Scops-Owl,Otus bakkamoena,L19783785,"Bhusawal, Maharashtra, IN (21.052, 75.773)",2025-12-01 18:25,1.0,21.051584,75.772998,True,False,True,S286922745,
bladro1,Black Drongo,Dicrurus macrocercus,L19783785,"Bhusawal, Maharashtra, IN (21.052, 75.773)",2025-12-01 18:25,2.0,21.051584,75.772998,True,False,True,S286922745,
rocpig,Rock Pigeon,Columba livia,L37047128,"Goregaon East, Mumbai IN-MH 19.16965, 72.86832Sai shivam saibaba complex Goregaon East",2025-12-01 17:51,5.0,19.169647,72.868319,True,False,True,S286919597,N
blakit1,Black Kite,Milvus migrans,L37047128,"Goregaon East, Mumbai IN-MH 19.16965, 72.86832Sai shivam saibaba complex Goregaon East",2025-12-01 17:51,51.0,19.169647,72.868319,True,False,True,S286919597,
alepar2,Alexandrine Parakeet,Psittacula eupatria,L37047128,"Goregaon East, Mumbai IN-MH 19.16965, 72.86832Sai shivam saibaba complex Goregaon East",2025-12-01 17:51,5.0,19.169647,72.868319,True,False,True,S286919597,
rorpar,Rose-ringed Parakeet,Psittacula krameri,L37047128,"Goregaon East, Mumbai IN-MH 19.16965, 72.86832Sai shivam saibaba complex Goregaon East",2025-12-01 17:51,4.0,19.169647,72.868319,True,False,True,S286919597,
houcro1,House Crow,Corvus splendens,L37047128,"Goregaon East, Mumbai IN-MH 19.16965, 72.86832Sai shivam saibaba complex Goregaon East",2025-12-01 17:51,11.0,19.169647,72.868319,True,False,True,S286919597,
labcro1,Large-billed Crow,Corvus macrorhynchos,L37047128,"Goregaon East, Mumbai IN-MH 19.16965, 72.86832Sai shivam saibaba complex Goregaon East",2025-12-01 17:51,2.0,19.169647,72.868319,True,False,True,S286919597,
grecou1,Greater Coucal,Centropus sinensis,L15239804,"My House, Ranvi, Guhagar",2025-12-01 17:47,2.0,17.5376767,73.17646,True,False,True,S286920697,
inpher1,Indian Pond-Heron,Ardeola grayii,L15239804,"My House, Ranvi, Guhagar",2025-12-01 17:47,1.0,17.5376767,73.17646,True,False,True,S286920697,
brakit1,Brahminy Kite,Haliastur indus,L15239804,"My House, Ranvi, Guhagar",2025-12-01 17:47,2.0,17.5376767,73.17646,True,False,True,S286920697,
grnbee3,Asian Green Bee-eater,Merops orientalis,L15239804,"My House, Ranvi, Guhagar",2025-12-01 17:47,4.0,17.5376767,73.17646,True,False,True,S286920697,
whtkin2,White-throated Kingfisher,Halcyon smyrnensis,L15239804,"My House, Ranvi, Guhagar",2025-12-01 17:47,2.0,17.5376767,73.17646,True,False,True,S286920697,
brhbar1,Brown-headed Barbet,Psilopogon zeylanicus,L15239804,"My House, Ranvi, Guhagar",2025-12-01 17:47,2.0,17.5376767,73.17646,True,False,True,S286920697,
ruftre2,Rufous Treepie,Dendrocitta vagabunda,L15239804,"My House, Ranvi, Guhagar",2025-12-01 17:47,1.0,17.5376767,73.17646,True,False,True,S286920697,
comtai1,Common Tailorbird,Orthotomus sutorius,L15239804,"My House, Ranvi, Guhagar",2025-12-01 17:47,2.0,17.5376767,73.17646,True,False,True,S286920697,
gybpri1,Gray-breasted Prinia,Prinia hodgsonii,L15239804,"My House, Ranvi, Guhagar",2025-12-01 17:47,3.0,17.5376767,73.17646,True,False,True,S286920697,
y00621,Eastern Red-rumped Swallow,Cecropis daurica,L15239804,"My House, Ranvi, Guhagar",2025-12-01 17:47,6.0,17.5376767,73.17646,True,False,True,S286920697,
rewbul,Red-whiskered Bulbul,Pycnonotus jocosus,L15239804,"My House, Ranvi, Guhagar",2025-12-01 17:47,4.0,17.5376767,73.17646,True,False,True,S286920697,
revbul,Red-vented Bulbul,Pycnonotus cafer,L15239804,"My House, Ranvi, Guhagar",2025-12-01 17:47,6.0,17.5376767,73.17646,True,False,True,S286920697,
magrob,Oriental Magpie-Robin,Copsychus saularis,L15239804,"My House, Ranvi, Guhagar",2025-12-01 17:47,2.0,17.5376767,73.17646,True,False,True,S286920697,
pursun3,Purple-rumped Sunbird,Leptocoma zeylonica,L15239804,"My House, Ranvi, Guhagar",2025-12-01 17:47,2.0,17.5376767,73.17646,True,False,True,S286920697,
lirplo,Little Ringed Plover,Thinornis dubius,L11681228,Pathardi Nashik Annex - II,2025-12-01 17:39,3.0,19.9498258,73.7789755,True,False,False,S286918631,
comsan,Common Sandpiper,Actitis hypoleucos,L11681228,Pathardi Nashik Annex - II,2025-12-01 17:39,1.0,19.9498258,73.7789755,True,False,False,S286918631,
litgre1,Little Grebe,Tachybaptus ruficollis,L11681228,Pathardi Nashik Annex - II,2025-12-01 17:39,2.0,19.9498258,73.7789755,True,False,False,S286918631,
shikra1,Shikra,Tachyspiza badia,L11681228,Pathardi Nashik Annex - II,2025-12-01 17:39,1.0,19.9498258,73.7789755,True,False,False,S286918631,
ascspl1,Ashy-crowned Sparrow-Lark,Eremopterix griseus,L11681228,Pathardi Nashik Annex - II,2025-12-01 17:39,2.0,19.9498258,73.7789755,True,False,False,S286918631,
tawlar1,Tawny Lark,Galerida deva,L11681228,Pathardi Nashik Annex - II,2025-12-01 17:39,1.0,19.9498258,73.7789755,True,False,False,S286918631,
witswa1,Wire-tailed Swallow,Hirundo smithii,L11681228,Pathardi Nashik Annex - II,2025-12-01 17:39,1.0,19.9498258,73.7789755,True,False,False,S286918631,
whiwag,White Wagtail,Motacilla alba,L11681228,Pathardi Nashik Annex - II,2025-12-01 17:39,1.0,19.9498258,73.7789755,True,False,False,S286918631,
oripip1,Paddyfield Pipit,Anthus rufulus,L11681228,Pathardi Nashik Annex - II,2025-12-01 17:39,2.0,19.9498258,73.7789755,True,False,False,S286918631,
rudshe,Ruddy Shelduck,Tadorna ferruginea,L18148588,"Jaskhar, Uran",2025-12-01 17:36,50.0,18.909203,72.9789799,True,False,False,S286948023,
isbduc1,Indian Spot-billed Duck,Anas poecilorhyncha,L18148588,"Jaskhar, Uran",2025-12-01 17:36,4.0,18.909203,72.9789799,True,False,False,S286948023,
gnwtea,Green-winged Teal,Anas crecca,L18148588,"Jaskhar, Uran",2025-12-01 17:36,10.0,18.909203,72.9789799,True,False,False,S286948023,
litswi1,Little Swift,Apus affinis,L18148588,"Jaskhar, Uran",2025-12-01 17:36,12.0,18.909203,72.9789799,True,False,False,S286948023,
aspswi1,Asian Palm Swift,Cypsiurus balasiensis,L18148588,"Jaskhar, Uran",2025-12-01 17:36,8.0,18.909203,72.9789799,True,False,False,S286948023,
commoo3,Eurasian Moorhen,Gallinula chloropus,L18148588,"Jaskhar, Uran",2025-12-01 17:36,2.0,18.909203,72.9789799,True,False,False,S286948023,
eurcoo,Eurasian Coot,Fulica atra,L18148588,"Jaskhar, Uran",2025-12-01 17:36,4.0,18.909203,72.9789799,True,False,False,S286948023,
whbwat1,White-breasted Waterhen,Amaurornis phoenicurus,L18148588,"Jaskhar, Uran",2025-12-01 17:36,2.0,18.909203,72.9789799,True,False,False,S286948023,
bkwsti,Black-winged Stilt,Himantopus himantopus,L18148588,"Jaskhar, Uran",2025-12-01 17:36,12.0,18.909203,72.9789799,True,False,False,S286948023,
rewlap1,Red-wattled Lapwing,Vanellus indicus,L18148588,"Jaskhar, Uran",2025-12-01 17:36,6.0,18.909203,72.9789799,True,False,False,S286948023,
bktgod,Black-tailed Godwit,Limosa limosa,L18148588,"Jaskhar, Uran",2025-12-01 17:36,2.0,18.909203,72.9789799,True,False,False,S286948023,
