speciesCode,commonName,scientificName,locId,locName,observationDate,observationCount,latitude,longitude,obsValid,obsReviewed,locationPrivate,subId,exoticCategory
grefla3,Greater Flamingo,Phoenicopterus roseus,L11555142,Thakurli Wetlands,2026-03-01 09:41,100.0,19.2314433,73.1118504,True,False,False,S304819091,
rocpig,Rock Pigeon,Columba livia,L42609784,"Anand Baugh Society,",2026-03-01 09:22,1.0,18.5052207,73.8404636,True,False,True,S304818626,N
renibi1,Red-naped Ibis,Pseudibis papillosa,L42609784,"Anand Baugh Society,",2026-03-01 09:22,1.0,18.5052207,73.8404636,True,False,True,S304818626,
blakit1,Black Kite,Milvus migrans,L42609784,"Anand Baugh Society,",2026-03-01 09:22,5.0,18.5052207,73.8404636,True,False,True,S304818626,
rorpar,Rose-ringed Parakeet,Psittacula krameri,L42609784,"Anand Baugh Society,",2026-03-01 09:22,6.0,18.5052207,73.8404636,True,False,True,S304818626,
houcro1,House Crow,Corvus splendens,L42609784,"Anand Baugh Society,",2026-03-01 09:22,5.0,18.5052207,73.8404636,True,False,True,S304818626,
labcro1,Large-billed Crow,Corvus macrorhynchos,L42609784,"Anand Baugh Society,",2026-03-01 09:22,2.0,18.5052207,73.8404636,True,False,True,S304818626,
comtai1,Common Tailorbird,Orthotomus sutorius,L42609784,"Anand Baugh Society,",2026-03-01 09:22,3.0,18.5052207,73.8404636,True,False,True,S304818626,
commyn,Common Myna,Acridotheres tristis,L42609784,"Anand Baugh Society,",2026-03-01 09:22,4.0,18.5052207,73.8404636,True,False,True,S304818626,
pursun3,Purple-rumped Sunbird,Leptocoma zeylonica,L42609784,"Anand Baugh Society,",2026-03-01 09:22,1.0,18.5052207,73.8404636,True,False,True,S304818626,
pursun4,Purple Sunbird,Cinnyris asiaticus,L42609784,"Anand Baugh Society,",2026-03-01 09:22,1.0,18.5052207,73.8404636,True,False,True,S304818626,
ingori1,Indian Golden Oriole,Oriolus kundoo,L54983127,"Nagpur, Maharashtra, IN (21.098, 79.055)",2026-03-01 09:16,1.0,21.097981,79.0552001,True,False,True,S304819068,
magrob,Oriental Magpie-Robin,Copsychus saularis,L54983127,"Nagpur, Maharashtra, IN (21.098, 79.055)",2026-03-01 09:16,2.0,21.097981,79.0552001,True,False,True,S304819068,
tibfly3,Tickell's Blue Flycatcher,Cyornis tickelliae,L54983127,"Nagpur, Maharashtra, IN (21.098, 79.055)",2026-03-01 09:16,1.0,21.097981,79.0552001,True,False,True,S304819068,
smamin1,Small Minivet,Pericrocotus cinnamomeus,L2602737,"Bhatye, Ratnagiri",2026-03-01 09:15,1.0,16.9713454,73.2946658,True,False,False,S304817164,
rewbul,Red-whiskered Bulbul,Pycnonotus jocosus,L2602737,"Bhatye, Ratnagiri",2026-03-01 09:15,1.0,16.9713454,73.2946658,True,False,False,S304817164,
revbul,Red-vented Bulbul,Pycnonotus cafer,L2602737,"Bhatye, Ratnagiri",2026-03-01 09:15,1.0,16.9713454,73.2946658,True,False,False,S304817164,
whcbar1,White-cheeked Barbet,Psilopogon viridis,L59384546,"Natondi, Maharashtra, IN (17.994, 73.423)",2026-03-01 08:57,1.0,17.9940685,73.4225169,True,False,True,S304816263,
blnmon1,Black-naped Monarch,Hypothymis azurea,L59384546,"Natondi, Maharashtra, IN (17.994, 73.423)",2026-03-01 08:57,1.0,17.9940685,73.4225169,True,False,True,S304816263,
ashpri1,Ashy Prinia,Prinia socialis,L59384546,"Natondi, Maharashtra, IN (17.994, 73.423)",2026-03-01 08:57,1.0,17.9940685,73.4225169,True,False,True,S304816263,
indwhe1,Indian White-eye,Zosterops palpebrosus,L59384546,"Natondi, Maharashtra, IN (17.994, 73.423)",2026-03-01 08:57,4.0,17.9940685,73.4225169,True,False,True,S304816263,
junbab2,Jungle Babbler,Argya striata,L59384546,"Natondi, Maharashtra, IN (17.994, 73.423)",2026-03-01 08:57,5.0,17.9940685,73.4225169,True,False,True,S304816263,
thbflo1,Thick-billed Flowerpecker,Pachyglossa agilis,L59384546,"Natondi, Maharashtra, IN (17.994, 73.423)",2026-03-01 08:57,1.0,17.9940685,73.4225169,True,False,True,S304816263,
crbsun2,Crimson-backed Sunbird,Leptocoma minima,L59384546,"Natondi, Maharashtra, IN (17.994, 73.423)",2026-03-01 08:57,1.0,17.9940685,73.4225169,True,False,True,S304816263,
chspet1,Yellow-throated Sparrow,Gymnoris xanthocollis,L59384546,"Natondi, Maharashtra, IN (17.994, 73.423)",2026-03-01 08:57,4.0,17.9940685,73.4225169,True,False,True,S304816263,
purswa3,Gray-headed Swamphen,Porphyrio poliocephalus,L22137580,Karave Wetlands,2026-03-01 08:46,4.0,19.0134464,73.0047941,True,False,False,S304818385,
bkwsti,Black-winged Stilt,Himantopus himantopus,L22137580,Karave Wetlands,2026-03-01 08:46,12.0,19.0134464,73.0047941,True,False,False,S304818385,
comsan,Common Sandpiper,Actitis hypoleucos,L22137580,Karave Wetlands,2026-03-01 08:46,6.0,19.0134464,73.0047941,True,False,False,S304818385,
grnsan,Green Sandpiper,Tringa ochropus,L22137580,Karave Wetlands,2026-03-01 08:46,3.0,19.0134464,73.0047941,True,False,False,S304818385,
whiter2,Whiskered Tern,Chlidonias hybrida,L22137580,Karave Wetlands,2026-03-01 08:46,20.0,19.0134464,73.0047941,True,False,False,S304818385,
paisto1,Painted Stork,Mycteria leucocephala,L22137580,Karave Wetlands,2026-03-01 08:46,10.0,19.0134464,73.0047941,True,False,False,S304818385,
indcor1,Indian Cormorant,Phalacrocorax fuscicollis,L22137580,Karave Wetlands,2026-03-01 08:46,30.0,19.0134464,73.0047941,True,False,False,S304818385,
