speciesCode,commonName,scientificName,locId,locName,observationDate,observationCount,latitude,longitude,obsValid,obsReviewed,locationPrivate,subId,exoticCategory
grnbee3,Asian Green Bee-eater,Merops orientalis,L58936900,"Megh Nagar Road, Nandurbar, Maharashtra, IN (21.366, 74.249)",2026-02-21 17:14,3.0,21.3662147,74.2486963,True,False,True,S302628917,
compea,Indian Peafowl,Pavo cristatus,L57954651,"Chimur, Maharashtra, IN (20.388, 79.355)",2026-02-21 16:53,1.0,20.3877245,79.3548938,True,False,True,S302627263,
rorpar,Rose-ringed Parakeet,Psittacula krameri,L57954651,"Chimur, Maharashtra, IN (20.388, 79.355)",2026-02-21 16:53,1.0,20.3877245,79.3548938,True,False,True,S302627263,
pursun4,Purple Sunbird,Cinnyris asiaticus,L57954651,"Chimur, Maharashtra, IN (20.388, 79.355)",2026-02-21 16:53,1.0,20.3877245,79.3548938,True,False,True,S302627263,
plhpar1,Plum-headed Parakeet,Psittacula cyanocephala,L57954651,"Chimur, Maharashtra, IN (20.388, 79.355)",2026-02-21 16:53,1.0,20.3877245,79.3548938,True,False,True,S302627263,
comwoo1,Common Woodshrike,Tephrodornis pondicerianus,L57954651,"Chimur, Maharashtra, IN (20.388, 79.355)",2026-02-21 16:53,1.0,20.3877245,79.3548938,True,False,True,S302627263,
spodov,Spotted Dove,Spilopelia chinensis,L57954651,"Chimur, Maharashtra, IN (20.388, 79.355)",2026-02-21 16:53,2.0,20.3877245,79.3548938,True,False,True,S302627263,
inghor2,Indian Gray Hornbill,Ocyceros birostris,L57954651,"Chimur, Maharashtra, IN (20.388, 79.355)",2026-02-21 16:53,2.0,20.3877245,79.3548938,True,False,True,S302627263,
plapri1,Plain Prinia,Prinia inornata,L57954651,"Chimur, Maharashtra, IN (20.388, 79.355)",2026-02-21 16:53,1.0,20.3877245,79.3548938,True,False,True,S302627263,
revbul,Red-vented Bulbul,Pycnonotus cafer,L7734470,Daulatabad Fort,2026-02-21 16:52,3.0,19.943639,75.220631,True,False,False,S302624401,
rossta2,Rosy Starling,Pastor roseus,L7734470,Daulatabad Fort,2026-02-21 16:52,300.0,19.943639,75.220631,True,False,False,S302624401,
crbsun2,Crimson-backed Sunbird,Leptocoma minima,L58936382,"Helen’s Point trailMahabaleshwar, Mahabaleshwar IN-Maharashtra (17.9042,73.6723)",2026-02-21 16:49,2.0,17.904202,73.672266,True,False,True,S302626628,
ashpri1,Ashy Prinia,Prinia socialis,L58936382,"Helen’s Point trailMahabaleshwar, Mahabaleshwar IN-Maharashtra (17.9042,73.6723)",2026-02-21 16:49,3.0,17.904202,73.672266,True,False,True,S302626628,
