speciesCode,commonName,scientificName,locId,locName,observationDate,observationCount,latitude,longitude,obsValid,obsReviewed,locationPrivate,subId,exoticCategory
bcnher,Black-crowned Night Heron,Nycticorax nycticorax,L3148420,"Panje, Uran",2025-01-01 23:58,2.0,18.9079792,72.9492456,True,False,False,S207606894,
eabowl1,Eastern Barn Owl,Tyto javanica,L3148420,"Panje, Uran",2025-01-01 23:58,1.0,18.9079792,72.9492456,True,False,False,S207606894,
pasowl3,Pallid Scops-Owl,Otus brucei,L3148420,"Panje, Uran",2025-01-01 23:58,1.0,18.9079792,72.9492456,True,True,False,S207606894,
rocpig,Rock Pigeon,Columba livia,L21392819,"Badnera Railway Station, Badnera Road, Amravati, Maharashtra, IN (20.858, 77.727)",2025-01-01 22:46,16.0,20.8577275,77.7271575,True,False,True,S207487751,N
rewlap1,Red-wattled Lapwing,Vanellus indicus,L28697380,Ahmednagar Fort backside,2025-01-01 20:07,4.0,19.0930011,74.7532994,True,False,True,S207453108,
spoowl1,Spotted Owlet,Athene brama,L28697380,Ahmednagar Fort backside,2025-01-01 20:07,3.0,19.0930011,74.7532994,True,False,True,S207453108,
insowl1,Indian Scops-Owl,Otus bakkamoena,L28469326,Sanchar Vihar Colony,2025-01-01 18:27,1.0,21.159551,79.0641201,True,False,True,S207433129,
rorpar,Rose-ringed Parakeet,Psittacula krameri,L38706490,"Jai Plot Haripur, Maharashtra, IN (16.84, 74.554)",2025-01-01 18:10,3.0,16.8397418,74.5543918,True,False,True,S207432664,
bladro1,Black Drongo,Dicrurus macrocercus,L38706490,"Jai Plot Haripur, Maharashtra, IN (16.84, 74.554)",2025-01-01 18:10,1.0,16.8397418,74.5543918,True,False,True,S207432664,
asikoe2,Asian Koel,Eudynamys scolopaceus,L28602231,Lake Homes Artificial Pond,2025-01-01 18:07,2.0,19.1152043,72.9005717,True,False,True,S207431818,
whbwat1,White-breasted Waterhen,Amaurornis phoenicurus,L28602231,Lake Homes Artificial Pond,2025-01-01 18:07,2.0,19.1152043,72.9005717,True,False,True,S207431818,
litegr,Little Egret,Egretta garzetta,L28602231,Lake Homes Artificial Pond,2025-01-01 18:07,2.0,19.1152043,72.9005717,True,False,True,S207431818,
inpher1,Indian Pond-Heron,Ardeola grayii,L28602231,Lake Homes Artificial Pond,2025-01-01 18:07,4.0,19.1152043,72.9005717,True,False,True,S207431818,
blakit1,Black Kite,Milvus migrans,L28602231,Lake Homes Artificial Pond,2025-01-01 18:07,10.0,19.1152043,72.9005717,True,False,True,S207431818,
comkin1,Common Kingfisher,Alcedo atthis,L28602231,Lake Homes Artificial Pond,2025-01-01 18:07,2.0,19.1152043,72.9005717,True,False,True,S207431818,
spbfan1,Spot-breasted Fantail,Rhipidura albogularis,L28602231,Lake Homes Artificial Pond,2025-01-01 18:07,1.0,19.1152043,72.9005717,True,False,True,S207431818,
houcro1,House Crow,Corvus splendens,L28602231,Lake Homes Artificial Pond,2025-01-01 18:07,5.0,19.1152043,72.9005717,True,False,True,S207431818,
comtai1,Common Tailorbird,Orthotomus sutorius,L28602231,Lake Homes Artificial Pond,2025-01-01 18:07,2.0,19.1152043,72.9005717,True,False,True,S207431818,
houspa,House Sparrow,Passer domesticus,L28602231,Lake Homes Artificial Pond,2025-01-01 18:07,20.0,19.1152043,72.9005717,True,False,True,S207431818,
aspfly1,Indian Paradise-Flycatcher,Terpsiphone paradisi,L6586909,Shree pantanagari chs,2025-01-01 18:02,1.0,19.3473572,72.8034782,True,False,True,S207431812,
gryfra,Gray Francolin,Ortygornis pondicerianus,L38706490,"Jai Plot Haripur, Maharashtra, IN (16.84, 74.554)",2025-01-01 17:56,2.0,16.8397418,74.5543918,True,False,True,S207430887,
laudov1,Laughing Dove,Spilopelia senegalensis,L38706490,"Jai Plot Haripur, Maharashtra, IN (16.84, 74.554)",2025-01-01 17:56,2.0,16.8397418,74.5543918,True,False,True,S207430887,
grnbee3,Asian Green Bee-eater,Merops orientalis,L38706490,"Jai Plot Haripur, Maharashtra, IN (16.84, 74.554)",2025-01-01 17:56,61.0,16.8397418,74.5543918,True,False,True,S207430887,
lotshr1,Long-tailed Shrike,Lanius schach,L38706490,"Jai Plot Haripur, Maharashtra, IN (16.84, 74.554)",2025-01-01 17:56,1.0,16.8397418,74.5543918,True,False,True,S207430887,
blrwar1,Blyth's Reed Warbler,Acrocephalus dumetorum,L38706490,"Jai Plot Haripur, Maharashtra, IN (16.84, 74.554)",2025-01-01 17:56,2.0,16.8397418,74.5543918,True,False,True,S207430887,
indrob1,Indian Robin,Copsychus fulicatus,L38706490,"Jai Plot Haripur, Maharashtra, IN (16.84, 74.554)",2025-01-01 17:56,1.0,16.8397418,74.5543918,True,False,True,S207430887,
litswi1,Little Swift,Apus affinis,L9868959,Moti Lake,2025-01-01 17:52,40.0,15.905767,73.821426,True,False,False,S208492537,
aspswi1,Asian Palm Swift,Cypsiurus balasiensis,L9868959,Moti Lake,2025-01-01 17:52,2.0,15.905767,73.821426,True,False,False,S208492537,
whiter2,Whiskered Tern,Chlidonias hybrida,L9868959,Moti Lake,2025-01-01 17:52,4.0,15.905767,73.821426,True,False,False,S208492537,
rivter1,River Tern,Sterna aurantia,L9868959,Moti Lake,2025-01-01 17:52,1.0,15.905767,73.821426,True,False,False,S208492537,
categr2,Eastern Cattle-Egret,Ardea coromanda,L9868959,Moti Lake,2025-01-01 17:52,10.0,15.905767,73.821426,True,False,False,S208492537,
brakit1,Brahminy Kite,Haliastur indus,L9868959,Moti Lake,2025-01-01 17:52,2.0,15.905767,73.821426,True,False,False,S208492537,
ashpri1,Ashy Prinia,Prinia socialis,L9868959,Moti Lake,2025-01-01 17:52,2.0,15.905767,73.821426,True,False,False,S208492537,
clrwar1,Clamorous Reed Warbler,Acrocephalus stentoreus,L9868959,Moti Lake,2025-01-01 17:52,2.0,15.905767,73.821426,True,False,False,S208492537,
whbwag1,White-browed Wagtail,Motacilla maderaspatensis,L9868959,Moti Lake,2025-01-01 17:52,1.0,15.905767,73.821426,True,False,False,S208492537,
litcor1,Little Cormorant,Microcarbo niger,L21296647,Ranpise Nagar Open Ground,2025-01-01 17:50,5.0,20.7104876,77.0140025,True,False,False,S207430806,
