speciesCode,commonName,scientificName,locId,locName,observationDate,observationCount,latitude,longitude,obsValid,obsReviewed,locationPrivate,subId,exoticCategory
laudov1,Laughing Dove,Spilopelia senegalensis,L69274829,Trees N Tigers Tadoba,2026-07-01 11:24,1.0,20.4246818,79.4105977,True,False,True,S366054693,
grecou1,Greater Coucal,Centropus sinensis,L69274829,Trees N Tigers Tadoba,2026-07-01 11:24,1.0,20.4246818,79.4105977,True,False,True,S366054693,
placuc3,Gray-bellied Cuckoo,Cacomantis passerinus,L69274829,Trees N Tigers Tadoba,2026-07-01 11:24,2.0,20.4246818,79.4105977,True,False,True,S366054693,
whbwat1,White-breasted Waterhen,Amaurornis phoenicurus,L69274829,Trees N Tigers Tadoba,2026-07-01 11:24,3.0,20.4246818,79.4105977,True,False,True,S366054693,
rewlap1,Red-wattled Lapwing,Vanellus indicus,L69274829,Trees N Tigers Tadoba,2026-07-01 11:24,1.0,20.4246818,79.4105977,True,False,True,S366054693,
copbar1,Coppersmith Barbet,Psilopogon haemacephalus,L69274829,Trees N Tigers Tadoba,2026-07-01 11:24,2.0,20.4246818,79.4105977,True,False,True,S366054693,
bncwoo3,Brown-capped Pygmy Woodpecker,Yungipicus nanus,L69274829,Trees N Tigers Tadoba,2026-07-01 11:24,1.0,20.4246818,79.4105977,True,False,True,S366054693,
yecwoo1,Yellow-crowned Woodpecker,Leiopicus mahrattensis,L69274829,Trees N Tigers Tadoba,2026-07-01 11:24,1.0,20.4246818,79.4105977,True,False,True,S366054693,
plhpar1,Plum-headed Parakeet,Psittacula cyanocephala,L69274829,Trees N Tigers Tadoba,2026-07-01 11:24,3.0,20.4246818,79.4105977,True,False,True,S366054693,
aspfly1,Indian Paradise-Flycatcher,Terpsiphone paradisi,L69274829,Trees N Tigers Tadoba,2026-07-01 11:24,5.0,20.4246818,79.4105977,True,False,True,S366054693,
comtai1,Common Tailorbird,Orthotomus sutorius,L69274829,Trees N Tigers Tadoba,2026-07-01 11:24,1.0,20.4246818,79.4105977,True,False,True,S366054693,
ashpri1,Ashy Prinia,Prinia socialis,L69274829,Trees N Tigers Tadoba,2026-07-01 11:24,1.0,20.4246818,79.4105977,True,False,True,S366054693,
whbbul2,White-browed Bulbul,Pycnonotus luteolus,L69274829,Trees N Tigers Tadoba,2026-07-01 11:24,3.0,20.4246818,79.4105977,True,False,True,S366054693,
indwhe1,Indian White-eye,Zosterops palpebrosus,L69274829,Trees N Tigers Tadoba,2026-07-01 11:24,1.0,20.4246818,79.4105977,True,False,True,S366054693,
brasta1,Brahminy Starling,Sturnia pagodarum,L69274829,Trees N Tigers Tadoba,2026-07-01 11:24,1.0,20.4246818,79.4105977,True,False,True,S366054693,
nutman,Scaly-breasted Munia,Lonchura punctulata,L69274829,Trees N Tigers Tadoba,2026-07-01 11:24,1.0,20.4246818,79.4105977,True,False,True,S366054693,
spodov,Spotted Dove,Spilopelia chinensis,L72053170,Bodwad EB6,2026-07-01 11:05,1.0,20.9514051,76.0836929,True,False,True,S366052293,
grnbee3,Asian Green Bee-eater,Merops orientalis,L72053170,Bodwad EB6,2026-07-01 11:05,1.0,20.9514051,76.0836929,True,False,True,S366052293,
