speciesCode,commonName,scientificName,locId,locName,observationDate,observationCount,latitude,longitude,obsValid,obsReviewed,locationPrivate,subId,exoticCategory
eabowl1,Eastern Barn Owl,Tyto javanica,L30175593,"Badhe Chowk, Wardha, Maharashtra, IN (20.742, 78.601)",2025-03-01 23:17,1.0,20.7415046,78.6007944,True,False,True,S216073675,
grynig2,Jungle Nightjar,Caprimulgus indicus,L41573610,"Waghapur Road, Ambale, Maharashtra, IN (18.419, 74.142)",2025-03-01 22:45,1.0,18.4185454,74.1423366,True,False,True,S220285606,
indnig1,Indian Nightjar,Caprimulgus asiaticus,L41573610,"Waghapur Road, Ambale, Maharashtra, IN (18.419, 74.142)",2025-03-01 22:45,1.0,18.4185454,74.1423366,True,False,True,S220285606,
rewlap1,Red-wattled Lapwing,Vanellus indicus,L41573610,"Waghapur Road, Ambale, Maharashtra, IN (18.419, 74.142)",2025-03-01 22:45,1.0,18.4185454,74.1423366,True,False,True,S220285606,
indbus2,Indian Bushlark,Plocealauda erythroptera,L41573610,"Waghapur Road, Ambale, Maharashtra, IN (18.419, 74.142)",2025-03-01 22:45,2.0,18.4185454,74.1423366,True,False,True,S220285606,
rocpig,Rock Pigeon,Columba livia,L4332136,Bhusawal Thermal Power Station (BTPS)--Ganesh Mandir & EM Building Area,2025-03-01 22:19,4.0,21.0436258,75.848332,True,False,False,S216607583,N
yefpig1,Yellow-footed Green-Pigeon,Treron phoenicopterus,L4332136,Bhusawal Thermal Power Station (BTPS)--Ganesh Mandir & EM Building Area,2025-03-01 22:19,2.0,21.0436258,75.848332,True,False,False,S216607583,
grecou1,Greater Coucal,Centropus sinensis,L4332136,Bhusawal Thermal Power Station (BTPS)--Ganesh Mandir & EM Building Area,2025-03-01 22:19,1.0,21.0436258,75.848332,True,False,False,S216607583,
asikoe2,Asian Koel,Eudynamys scolopaceus,L4332136,Bhusawal Thermal Power Station (BTPS)--Ganesh Mandir & EM Building Area,2025-03-01 22:19,2.0,21.0436258,75.848332,True,False,False,S216607583,
categr2,Eastern Cattle-Egret,Ardea coromanda,L4332136,Bhusawal Thermal Power Station (BTPS)--Ganesh Mandir & EM Building Area,2025-03-01 22:19,1.0,21.0436258,75.848332,True,False,False,S216607583,
spoowl1,Spotted Owlet,Athene brama,L4332136,Bhusawal Thermal Power Station (BTPS)--Ganesh Mandir & EM Building Area,2025-03-01 22:19,1.0,21.0436258,75.848332,True,False,False,S216607583,
grnbee3,Asian Green Bee-eater,Merops orientalis,L4332136,Bhusawal Thermal Power Station (BTPS)--Ganesh Mandir & EM Building Area,2025-03-01 22:19,3.0,21.0436258,75.848332,True,False,False,S216607583,
copbar1,Coppersmith Barbet,Psilopogon haemacephalus,L4332136,Bhusawal Thermal Power Station (BTPS)--Ganesh Mandir & EM Building Area,2025-03-01 22:19,2.0,21.0436258,75.848332,True,False,False,S216607583,
rorpar,Rose-ringed Parakeet,Psittacula krameri,L4332136,Bhusawal Thermal Power Station (BTPS)--Ganesh Mandir & EM Building Area,2025-03-01 22:19,4.0,21.0436258,75.848332,True,False,False,S216607583,
ingori1,Indian Golden Oriole,Oriolus kundoo,L4332136,Bhusawal Thermal Power Station (BTPS)--Ganesh Mandir & EM Building Area,2025-03-01 22:19,1.0,21.0436258,75.848332,True,False,False,S216607583,
comior1,Common Iora,Aegithina tiphia,L4332136,Bhusawal Thermal Power Station (BTPS)--Ganesh Mandir & EM Building Area,2025-03-01 22:19,1.0,21.0436258,75.848332,True,False,False,S216607583,
comtai1,Common Tailorbird,Orthotomus sutorius,L4332136,Bhusawal Thermal Power Station (BTPS)--Ganesh Mandir & EM Building Area,2025-03-01 22:19,3.0,21.0436258,75.848332,True,False,False,S216607583,
gybpri1,Gray-breasted Prinia,Prinia hodgsonii,L4332136,Bhusawal Thermal Power Station (BTPS)--Ganesh Mandir & EM Building Area,2025-03-01 22:19,2.0,21.0436258,75.848332,True,False,False,S216607583,
ashpri1,Ashy Prinia,Prinia socialis,L4332136,Bhusawal Thermal Power Station (BTPS)--Ganesh Mandir & EM Building Area,2025-03-01 22:19,1.0,21.0436258,75.848332,True,False,False,S216607583,
revbul,Red-vented Bulbul,Pycnonotus cafer,L4332136,Bhusawal Thermal Power Station (BTPS)--Ganesh Mandir & EM Building Area,2025-03-01 22:19,4.0,21.0436258,75.848332,True,False,False,S216607583,
grewar3,Greenish Warbler,Phylloscopus trochiloides,L4332136,Bhusawal Thermal Power Station (BTPS)--Ganesh Mandir & EM Building Area,2025-03-01 22:19,1.0,21.0436258,75.848332,True,False,False,S216607583,
indwhe1,Indian White-eye,Zosterops palpebrosus,L4332136,Bhusawal Thermal Power Station (BTPS)--Ganesh Mandir & EM Building Area,2025-03-01 22:19,4.0,21.0436258,75.848332,True,False,False,S216607583,
junbab2,Jungle Babbler,Argya striata,L4332136,Bhusawal Thermal Power Station (BTPS)--Ganesh Mandir & EM Building Area,2025-03-01 22:19,4.0,21.0436258,75.848332,True,False,False,S216607583,
commyn,Common Myna,Acridotheres tristis,L4332136,Bhusawal Thermal Power Station (BTPS)--Ganesh Mandir & EM Building Area,2025-03-01 22:19,1.0,21.0436258,75.848332,True,False,False,S216607583,
indrob1,Indian Robin,Copsychus fulicatus,L4332136,Bhusawal Thermal Power Station (BTPS)--Ganesh Mandir & EM Building Area,2025-03-01 22:19,1.0,21.0436258,75.848332,True,False,False,S216607583,
magrob,Oriental Magpie-Robin,Copsychus saularis,L4332136,Bhusawal Thermal Power Station (BTPS)--Ganesh Mandir & EM Building Area,2025-03-01 22:19,1.0,21.0436258,75.848332,True,False,False,S216607583,
pursun3,Purple-rumped Sunbird,Leptocoma zeylonica,L4332136,Bhusawal Thermal Power Station (BTPS)--Ganesh Mandir & EM Building Area,2025-03-01 22:19,1.0,21.0436258,75.848332,True,False,False,S216607583,
pursun4,Purple Sunbird,Cinnyris asiaticus,L4332136,Bhusawal Thermal Power Station (BTPS)--Ganesh Mandir & EM Building Area,2025-03-01 22:19,2.0,21.0436258,75.848332,True,False,False,S216607583,
insowl1,Indian Scops-Owl,Otus bakkamoena,L21535955,Chahak Bird Sanctuary,2025-03-01 22:18,1.0,18.3416974,73.3948138,True,False,False,S216049417,
junowl1,Jungle Owlet,Glaucidium radiatum,L4799571,Pench National Park--Sillari Gate,2025-03-01 20:00,1.0,21.5883691,79.2832848,True,False,False,S216702006,
savnig1,Savanna Nightjar,Caprimulgus affinis,L40736024,"Ambika Farm, Maharashtra, IN (21.124, 78.768)",2025-03-01 19:29,1.0,21.1244456,78.7675868,True,False,True,S216048626,
jernig1,Jerdon's Nightjar,Caprimulgus atripennis,L21535955,Chahak Bird Sanctuary,2025-03-01 19:06,2.0,18.3416974,73.3948138,True,False,False,S216049440,
brfowl1,Brown Fish-Owl,Ketupa zeylonensis,L21535955,Chahak Bird Sanctuary,2025-03-01 19:06,1.0,18.3416974,73.3948138,True,False,False,S216049440,
blakit1,Black Kite,Milvus migrans,L6952013,Parle Tilak English Medium School,2025-03-01 18:41,1.0,19.1037144,72.8471854,True,False,False,S215991639,
houcro1,House Crow,Corvus splendens,L6952013,Parle Tilak English Medium School,2025-03-01 18:41,1.0,19.1037144,72.8471854,True,False,False,S215991639,
litcor1,Little Cormorant,Microcarbo niger,L40725295,Sawant Wadi Akole,2025-03-01 18:34,2.0,19.548286,73.9508439,True,False,True,S215991552,
litegr,Little Egret,Egretta garzetta,L40725295,Sawant Wadi Akole,2025-03-01 18:34,2.0,19.548286,73.9508439,True,False,True,S215991552,
inpher1,Indian Pond-Heron,Ardeola grayii,L40725295,Sawant Wadi Akole,2025-03-01 18:34,2.0,19.548286,73.9508439,True,False,True,S215991552,
cintit13,Asian Tit,Parus cinereus,L40725295,Sawant Wadi Akole,2025-03-01 18:34,2.0,19.548286,73.9508439,True,False,True,S215991552,
witswa1,Wire-tailed Swallow,Hirundo smithii,L40725295,Sawant Wadi Akole,2025-03-01 18:34,3.0,19.548286,73.9508439,True,False,True,S215991552,
piebus1,Pied Bushchat,Saxicola caprata,L40725295,Sawant Wadi Akole,2025-03-01 18:34,2.0,19.548286,73.9508439,True,False,True,S215991552,
gyhbun1,Gray-necked Bunting,Emberiza buchanani,L40725295,Sawant Wadi Akole,2025-03-01 18:34,3.0,19.548286,73.9508439,True,False,True,S215991552,
laudov1,Laughing Dove,Spilopelia senegalensis,L38081471,"Fulchur Tola, Maharashtra, IN (21.435, 80.2)",2025-03-01 18:25,1.0,21.4354441,80.2000358,True,False,True,S216059789,
cohcuc1,Common Hawk-Cuckoo,Hierococcyx varius,L38081471,"Fulchur Tola, Maharashtra, IN (21.435, 80.2)",2025-03-01 18:25,1.0,21.4354441,80.2000358,True,False,True,S216059789,
commoo3,Eurasian Moorhen,Gallinula chloropus,L38081471,"Fulchur Tola, Maharashtra, IN (21.435, 80.2)",2025-03-01 18:25,5.0,21.4354441,80.2000358,True,False,True,S216059789,
eurcoo,Eurasian Coot,Fulica atra,L38081471,"Fulchur Tola, Maharashtra, IN (21.435, 80.2)",2025-03-01 18:25,1.0,21.4354441,80.2000358,True,False,True,S216059789,
brwjac1,Bronze-winged Jacana,Metopidius indicus,L38081471,"Fulchur Tola, Maharashtra, IN (21.435, 80.2)",2025-03-01 18:25,1.0,21.4354441,80.2000358,True,False,True,S216059789,
shikra1,Shikra,Tachyspiza badia,L8089512,"Shivaji  Nagar  Jalgaon, Maharashtra, IN (21.021, 75.566)",2025-03-01 18:25,1.0,21.0210572,75.5660107,True,False,True,S216003054,
comkin1,Common Kingfisher,Alcedo atthis,L38081471,"Fulchur Tola, Maharashtra, IN (21.435, 80.2)",2025-03-01 18:25,2.0,21.4354441,80.2000358,True,False,True,S216059789,
bladro1,Black Drongo,Dicrurus macrocercus,L38081471,"Fulchur Tola, Maharashtra, IN (21.435, 80.2)",2025-03-01 18:25,1.0,21.4354441,80.2000358,True,False,True,S216059789,
