speciesCode,commonName,scientificName,locId,locName,observationDate,observationCount,latitude,longitude,obsValid,obsReviewed,locationPrivate,subId,exoticCategory
grecou1,Greater Coucal,Centropus sinensis,L8612971,Mumbai University--Kalina Campus,2025-11-01 23:06,1.0,19.0726051,72.8586222,True,False,False,S285611033,
grnbee3,Asian Green Bee-eater,Merops orientalis,L8612971,Mumbai University--Kalina Campus,2025-11-01 23:06,4.0,19.0726051,72.8586222,True,False,False,S285611033,
whtkin2,White-throated Kingfisher,Halcyon smyrnensis,L8612971,Mumbai University--Kalina Campus,2025-11-01 23:06,1.0,19.0726051,72.8586222,True,False,False,S285611033,
alepar2,Alexandrine Parakeet,Psittacula eupatria,L8612971,Mumbai University--Kalina Campus,2025-11-01 23:06,3.0,19.0726051,72.8586222,True,False,False,S285611033,
bladro1,Black Drongo,Dicrurus macrocercus,L8612971,Mumbai University--Kalina Campus,2025-11-01 23:06,1.0,19.0726051,72.8586222,True,False,False,S285611033,
comtai1,Common Tailorbird,Orthotomus sutorius,L8612971,Mumbai University--Kalina Campus,2025-11-01 23:06,3.0,19.0726051,72.8586222,True,False,False,S285611033,
rewbul,Red-whiskered Bulbul,Pycnonotus jocosus,L8612971,Mumbai University--Kalina Campus,2025-11-01 23:06,2.0,19.0726051,72.8586222,True,False,False,S285611033,
revbul,Red-vented Bulbul,Pycnonotus cafer,L8612971,Mumbai University--Kalina Campus,2025-11-01 23:06,3.0,19.0726051,72.8586222,True,False,False,S285611033,
magrob,Oriental Magpie-Robin,Copsychus saularis,L8612971,Mumbai University--Kalina Campus,2025-11-01 23:06,1.0,19.0726051,72.8586222,True,False,False,S285611033,
pursun3,Purple-rumped Sunbird,Leptocoma zeylonica,L8612971,Mumbai University--Kalina Campus,2025-11-01 23:06,2.0,19.0726051,72.8586222,True,False,False,S285611033,
crbsun2,Crimson-backed Sunbird,Leptocoma minima,L8612971,Mumbai University--Kalina Campus,2025-11-01 23:06,2.0,19.0726051,72.8586222,True,False,False,S285611033,
rewlap1,Red-wattled Lapwing,Vanellus indicus,L54660564,"Pune, Maharashtra, IN (18.395, 74.003)",2025-11-01 21:18,2.0,18.3954474,74.00251,True,False,True,S282341211,
