speciesCode,commonName,scientificName,locId,locName,observationDate,observationCount,latitude,longitude,obsValid,obsReviewed,locationPrivate,subId,exoticCategory
bcnher,Black-crowned Night Heron,Nycticorax nycticorax,L11013441,"14 NS Mankikar Road, Mumbai, Maharashtra, IN (19.047, 72.865)",2025-09-01 21:37,2.0,19.0473192,72.8652976,True,False,True,S270902500,
grejun2,Gray Junglefowl,Gallus sonneratii,L51846246,"Dr. Sálim Ali Residency, BNHS-Kihim Office",2025-09-01 19:08,2.0,18.7342825,72.8653073,True,False,True,S270852595,
comkin1,Common Kingfisher,Alcedo atthis,L51846246,"Dr. Sálim Ali Residency, BNHS-Kihim Office",2025-09-01 19:08,1.0,18.7342825,72.8653073,True,False,True,S270852595,
commyn,Common Myna,Acridotheres tristis,L51846246,"Dr. Sálim Ali Residency, BNHS-Kihim Office",2025-09-01 19:08,4.0,18.7342825,72.8653073,True,False,True,S270852595,
indrob1,Indian Robin,Copsychus fulicatus,L51846246,"Dr. Sálim Ali Residency, BNHS-Kihim Office",2025-09-01 19:08,1.0,18.7342825,72.8653073,True,False,True,S270852595,
rocpig,Rock Pigeon,Columba livia,L28620205,"Chowk Ashtavinayak Road - Surroundings, Balewadi",2025-09-01 18:25,5.0,18.5789254,73.7706458,True,False,True,S303395471,N
litcor1,Little Cormorant,Microcarbo niger,L28620205,"Chowk Ashtavinayak Road - Surroundings, Balewadi",2025-09-01 18:25,2.0,18.5789254,73.7706458,True,False,True,S303395471,
blakit1,Black Kite,Milvus migrans,L28620205,"Chowk Ashtavinayak Road - Surroundings, Balewadi",2025-09-01 18:25,4.0,18.5789254,73.7706458,True,False,True,S303395471,
grnbee3,Asian Green Bee-eater,Merops orientalis,L28620205,"Chowk Ashtavinayak Road - Surroundings, Balewadi",2025-09-01 18:25,1.0,18.5789254,73.7706458,True,False,True,S303395471,
rorpar,Rose-ringed Parakeet,Psittacula krameri,L28620205,"Chowk Ashtavinayak Road - Surroundings, Balewadi",2025-09-01 18:25,28.0,18.5789254,73.7706458,True,False,True,S303395471,
houcro1,House Crow,Corvus splendens,L28620205,"Chowk Ashtavinayak Road - Surroundings, Balewadi",2025-09-01 18:25,3.0,18.5789254,73.7706458,True,False,True,S303395471,
houspa,House Sparrow,Passer domesticus,L19540247,Devidas Lane,2025-09-01 17:43,2.0,19.2388234,72.8485575,True,False,True,S270829147,
spodov,Spotted Dove,Spilopelia chinensis,L50123515,"Mandki, Maharashtra, IN (17.395, 73.546) Sawarde",2025-09-01 17:31,2.0,17.3946082,73.5457443,True,False,True,S270845565,
rewlap1,Red-wattled Lapwing,Vanellus indicus,L50123515,"Mandki, Maharashtra, IN (17.395, 73.546) Sawarde",2025-09-01 17:31,2.0,17.3946082,73.5457443,True,False,True,S270845565,
brakit1,Brahminy Kite,Haliastur indus,L50123515,"Mandki, Maharashtra, IN (17.395, 73.546) Sawarde",2025-09-01 17:31,1.0,17.3946082,73.5457443,True,False,True,S270845565,
whtkin2,White-throated Kingfisher,Halcyon smyrnensis,L50123515,"Mandki, Maharashtra, IN (17.395, 73.546) Sawarde",2025-09-01 17:31,1.0,17.3946082,73.5457443,True,False,True,S270845565,
whcbar1,White-cheeked Barbet,Psilopogon viridis,L50123515,"Mandki, Maharashtra, IN (17.395, 73.546) Sawarde",2025-09-01 17:31,2.0,17.3946082,73.5457443,True,False,True,S270845565,
whbdro1,White-bellied Drongo,Dicrurus caerulescens,L50123515,"Mandki, Maharashtra, IN (17.395, 73.546) Sawarde",2025-09-01 17:31,2.0,17.3946082,73.5457443,True,False,True,S270845565,
labcro1,Large-billed Crow,Corvus macrorhynchos,L50123515,"Mandki, Maharashtra, IN (17.395, 73.546) Sawarde",2025-09-01 17:31,1.0,17.3946082,73.5457443,True,False,True,S270845565,
gybpri1,Gray-breasted Prinia,Prinia hodgsonii,L50123515,"Mandki, Maharashtra, IN (17.395, 73.546) Sawarde",2025-09-01 17:31,1.0,17.3946082,73.5457443,True,False,True,S270845565,
ashpri1,Ashy Prinia,Prinia socialis,L50123515,"Mandki, Maharashtra, IN (17.395, 73.546) Sawarde",2025-09-01 17:31,2.0,17.3946082,73.5457443,True,False,True,S270845565,
witswa1,Wire-tailed Swallow,Hirundo smithii,L50123515,"Mandki, Maharashtra, IN (17.395, 73.546) Sawarde",2025-09-01 17:31,2.0,17.3946082,73.5457443,True,False,True,S270845565,
y00621,Eastern Red-rumped Swallow,Cecropis daurica,L50123515,"Mandki, Maharashtra, IN (17.395, 73.546) Sawarde",2025-09-01 17:31,3.0,17.3946082,73.5457443,True,False,True,S270845565,
revbul,Red-vented Bulbul,Pycnonotus cafer,L50123515,"Mandki, Maharashtra, IN (17.395, 73.546) Sawarde",2025-09-01 17:31,5.0,17.3946082,73.5457443,True,False,True,S270845565,
junbab2,Jungle Babbler,Argya striata,L50123515,"Mandki, Maharashtra, IN (17.395, 73.546) Sawarde",2025-09-01 17:31,6.0,17.3946082,73.5457443,True,False,True,S270845565,
eurbla2,Indian Blackbird,Turdus simillimus,L50123515,"Mandki, Maharashtra, IN (17.395, 73.546) Sawarde",2025-09-01 17:31,4.0,17.3946082,73.5457443,True,False,True,S270845565,
magrob,Oriental Magpie-Robin,Copsychus saularis,L50123515,"Mandki, Maharashtra, IN (17.395, 73.546) Sawarde",2025-09-01 17:31,2.0,17.3946082,73.5457443,True,False,True,S270845565,
baywea1,Baya Weaver,Ploceus philippinus,L50123515,"Mandki, Maharashtra, IN (17.395, 73.546) Sawarde",2025-09-01 17:31,17.0,17.3946082,73.5457443,True,False,True,S270845565,
whbwag1,White-browed Wagtail,Motacilla maderaspatensis,L50123515,"Mandki, Maharashtra, IN (17.395, 73.546) Sawarde",2025-09-01 17:31,2.0,17.3946082,73.5457443,True,False,True,S270845565,
asikoe2,Asian Koel,Eudynamys scolopaceus,L22386863,Erandawane,2025-09-01 17:30,1.0,18.4999317,73.8314597,True,False,True,S270833109,
litswi1,Little Swift,Apus affinis,L22386863,Erandawane,2025-09-01 17:30,2.0,18.4999317,73.8314597,True,False,True,S270833109,
categr2,Eastern Cattle-Egret,Ardea coromanda,L22386863,Erandawane,2025-09-01 17:30,1.0,18.4999317,73.8314597,True,False,True,S270833109,
inghor2,Indian Gray Hornbill,Ocyceros birostris,L22386863,Erandawane,2025-09-01 17:30,4.0,18.4999317,73.8314597,True,False,True,S270833109,
