speciesCode,commonName,scientificName,locId,locName,observationDate,latitude,longitude,obsValid,obsReviewed,locationPrivate,subId,observationCount,exoticCategory
inpher1,Indian Pond-Heron,Ardeola grayii,L76522633,"Ratnagiri-Ganpati Pule Highway, Bholewadi, Maharashtra, IN (17.075, 73.289)",2026-09-01 12:33,17.0746783,73.2891183,True,False,True,S388785214,,
categr2,Eastern Cattle-Egret,Ardea coromanda,L76522633,"Ratnagiri-Ganpati Pule Highway, Bholewadi, Maharashtra, IN (17.075, 73.289)",2026-09-01 12:33,17.0746783,73.2891183,True,False,True,S388785214,,
rocpig,Rock Pigeon,Columba livia,L16889132,Nanded City,2026-09-01 12:15,18.456392,73.779495,True,False,False,S388784973,20.0,N
blakit1,Black Kite,Milvus migrans,L16889132,Nanded City,2026-09-01 12:15,18.456392,73.779495,True,False,False,S388784973,7.0,
ashpri1,Ashy Prinia,Prinia socialis,L16889132,Nanded City,2026-09-01 12:15,18.456392,73.779495,True,False,False,S388784973,1.0,
duscrm1,Dusky Crag-Martin,Ptyonoprogne concolor,L16889132,Nanded City,2026-09-01 12:15,18.456392,73.779495,True,False,False,S388784973,3.0,
rewbul,Red-whiskered Bulbul,Pycnonotus jocosus,L16889132,Nanded City,2026-09-01 12:15,18.456392,73.779495,True,False,False,S388784973,1.0,
revbul,Red-vented Bulbul,Pycnonotus cafer,L16889132,Nanded City,2026-09-01 12:15,18.456392,73.779495,True,False,False,S388784973,2.0,
commyn,Common Myna,Acridotheres tristis,L16889132,Nanded City,2026-09-01 12:15,18.456392,73.779495,True,False,False,S388784973,2.0,
nutman,Scaly-breasted Munia,Lonchura punctulata,L16889132,Nanded City,2026-09-01 12:15,18.456392,73.779495,True,False,False,S388784973,2.0,
asikoe2,Asian Koel,Eudynamys scolopaceus,L76522708,"Velvi - Bandhtivre - Dapoli Road, Shivajinagar, Maharashtra, IN (17.801, 73.189)",2026-09-01 11:35,17.800915,73.1887133,True,False,True,S388785867,1.0,
whtkin2,White-throated Kingfisher,Halcyon smyrnensis,L76522708,"Velvi - Bandhtivre - Dapoli Road, Shivajinagar, Maharashtra, IN (17.801, 73.189)",2026-09-01 11:35,17.800915,73.1887133,True,False,True,S388785867,1.0,
comtai1,Common Tailorbird,Orthotomus sutorius,L76522708,"Velvi - Bandhtivre - Dapoli Road, Shivajinagar, Maharashtra, IN (17.801, 73.189)",2026-09-01 11:35,17.800915,73.1887133,True,False,True,S388785867,1.0,
putbab1,Puff-throated Babbler,Pellorneum ruficeps,L76522708,"Velvi - Bandhtivre - Dapoli Road, Shivajinagar, Maharashtra, IN (17.801, 73.189)",2026-09-01 11:35,17.800915,73.1887133,True,False,True,S388785867,2.0,
pursun3,Purple-rumped Sunbird,Leptocoma zeylonica,L76522708,"Velvi - Bandhtivre - Dapoli Road, Shivajinagar, Maharashtra, IN (17.801, 73.189)",2026-09-01 11:35,17.800915,73.1887133,True,False,True,S388785867,2.0,
grnbee3,Asian Green Bee-eater,Merops orientalis,L1838309,Pune University,2026-09-01 11:32,18.5516,73.8256,True,False,False,S388775613,2.0,
copbar1,Coppersmith Barbet,Psilopogon haemacephalus,L1838309,Pune University,2026-09-01 11:32,18.5516,73.8256,True,False,False,S388775613,1.0,
labcro1,Large-billed Crow,Corvus macrorhynchos,L1838309,Pune University,2026-09-01 11:32,18.5516,73.8256,True,False,False,S388775613,1.0,
magrob,Oriental Magpie-Robin,Copsychus saularis,L1838309,Pune University,2026-09-01 11:32,18.5516,73.8256,True,False,False,S388775613,1.0,
spbfan1,Spot-breasted Fantail,Rhipidura albogularis,L6520652,Sunshine Elegance - Thakurli (Restricted Access),2026-09-01 10:24,19.2242715,73.1024896,True,False,False,S388777159,1.0,
