speciesCode,commonName,scientificName,locId,locName,observationDate,observationCount,latitude,longitude,obsValid,obsReviewed,locationPrivate,subId,exoticCategory
asidrc2,Fork-tailed Drongo-Cuckoo,Surniculus dicruroides,L12193091,Gothane outskirts,2025-06-01 23:40,1.0,16.2536512,73.6349546,True,False,False,S245596675,
junowl1,Jungle Owlet,Glaucidium radiatum,L4799571,Pench National Park--Sillari Gate,2025-06-01 23:00,1.0,21.5883691,79.2832848,True,False,False,S262211005,
sllcra1,Slaty-legged Crake,Rallina eurizonoides,L15239804,"My House, Ranvi, Guhagar",2025-06-01 22:35,1.0,17.5376767,73.17646,True,False,True,S245586293,
bcnher,Black-crowned Night Heron,Nycticorax nycticorax,L15239804,"My House, Ranvi, Guhagar",2025-06-01 22:35,1.0,17.5376767,73.17646,True,False,True,S245586293,
piecuc1,Pied Cuckoo,Clamator jacobinus,L15239804,"My House, Ranvi, Guhagar",2025-06-01 21:42,1.0,17.5376767,73.17646,True,False,True,S245585741,
copgoo1,Cotton Pygmy-Goose,Nettapus coromandelianus,L6027456,Tadoba Andhari Tiger Reserve--Kolara Gate,2025-06-01 20:49,4.0,20.3947556,79.3628311,True,False,False,S245504233,
compea,Indian Peafowl,Pavo cristatus,L6027456,Tadoba Andhari Tiger Reserve--Kolara Gate,2025-06-01 20:49,9.0,20.3947556,79.3628311,True,False,False,S245504233,
redspu1,Red Spurfowl,Galloperdix spadicea,L6027456,Tadoba Andhari Tiger Reserve--Kolara Gate,2025-06-01 20:49,1.0,20.3947556,79.3628311,True,False,False,S245504233,
grejun2,Gray Junglefowl,Gallus sonneratii,L6027456,Tadoba Andhari Tiger Reserve--Kolara Gate,2025-06-01 20:49,1.0,20.3947556,79.3628311,True,False,False,S245504233,
rocpig,Rock Pigeon,Columba livia,L6027456,Tadoba Andhari Tiger Reserve--Kolara Gate,2025-06-01 20:49,3.0,20.3947556,79.3628311,True,False,False,S245504233,N
eucdov,Eurasian Collared-Dove,Streptopelia decaocto,L6027456,Tadoba Andhari Tiger Reserve--Kolara Gate,2025-06-01 20:49,2.0,20.3947556,79.3628311,True,False,False,S245504233,
spodov,Spotted Dove,Spilopelia chinensis,L6027456,Tadoba Andhari Tiger Reserve--Kolara Gate,2025-06-01 20:49,2.0,20.3947556,79.3628311,True,False,False,S245504233,
laudov1,Laughing Dove,Spilopelia senegalensis,L6027456,Tadoba Andhari Tiger Reserve--Kolara Gate,2025-06-01 20:49,5.0,20.3947556,79.3628311,True,False,False,S245504233,
yefpig1,Yellow-footed Green-Pigeon,Treron phoenicopterus,L6027456,Tadoba Andhari Tiger Reserve--Kolara Gate,2025-06-01 20:49,6.0,20.3947556,79.3628311,True,False,False,S245504233,
grecou1,Greater Coucal,Centropus sinensis,L6027456,Tadoba Andhari Tiger Reserve--Kolara Gate,2025-06-01 20:49,2.0,20.3947556,79.3628311,True,False,False,S245504233,
sirmal1,Sirkeer Malkoha,Taccocua leschenaultii,L6027456,Tadoba Andhari Tiger Reserve--Kolara Gate,2025-06-01 20:49,1.0,20.3947556,79.3628311,True,False,False,S245504233,
