speciesCode,commonName,scientificName,locId,locName,observationDate,observationCount,latitude,longitude,obsValid,obsReviewed,locationPrivate,subId,exoticCategory
junowl1,Jungle Owlet,Glaucidium radiatum,L4799571,Pench National Park--Sillari Gate,2025-05-01 23:30,1.0,21.5883691,79.2832848,True,False,False,S250220888,
mowowl1,Mottled Wood-Owl,Strix ocellata,L4799571,Pench National Park--Sillari Gate,2025-05-01 23:30,1.0,21.5883691,79.2832848,True,False,False,S250220888,
eabowl1,Eastern Barn Owl,Tyto javanica,L32141873,"Nagpur, Maharashtra, IN (21.079, 79.075)",2025-05-01 22:30,2.0,21.0794863,79.0746033,True,False,True,S231659262,
inghor2,Indian Gray Hornbill,Ocyceros birostris,L43840189,"District:, Sonavade Tarf Haveli, Maharashtra, IN (16.052, 73.661)",2025-05-01 20:53,2.0,16.0519087,73.6606073,True,False,True,S231611884,
indpit1,Indian Pitta,Pitta brachyura,L43840189,"District:, Sonavade Tarf Haveli, Maharashtra, IN (16.052, 73.661)",2025-05-01 20:53,2.0,16.0519087,73.6606073,True,False,True,S231611884,
revbul,Red-vented Bulbul,Pycnonotus cafer,L43840189,"District:, Sonavade Tarf Haveli, Maharashtra, IN (16.052, 73.661)",2025-05-01 20:53,1.0,16.0519087,73.6606073,True,False,True,S231611884,
junbab2,Jungle Babbler,Argya striata,L43840189,"District:, Sonavade Tarf Haveli, Maharashtra, IN (16.052, 73.661)",2025-05-01 20:53,2.0,16.0519087,73.6606073,True,False,True,S231611884,
greegr,Great Egret,Ardea alba,L10697622,Gorai Jetty Borivali Side,2025-05-01 19:04,1.0,19.2333229,72.8242064,True,False,False,S231569754,
emedov2,Asian Emerald Dove,Chalcophaps indica,L6969866,Vanoshi Forest Homestay,2025-05-01 18:58,1.0,15.722163,73.9789027,True,False,False,S231568815,
rufwoo2,Rufous Woodpecker,Micropternus brachyurus,L6969866,Vanoshi Forest Homestay,2025-05-01 18:58,2.0,15.722163,73.9789027,True,False,False,S231568815,
grtdro1,Greater Racket-tailed Drongo,Dicrurus paradiseus,L6969866,Vanoshi Forest Homestay,2025-05-01 18:58,1.0,15.722163,73.9789027,True,False,False,S231568815,
